id,name,artists,album,album_id,album_artists,album_release_date,duration_ms,popularity,explicit,track_number,disc_number,is_local,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2iUXsYOEPhVqEBwsqP70rE,Youngblood,['5 Seconds of Summer'],Youngblood (Deluxe),2D0Hi3Jj6RFnpWDcSa0Otu,['5 Seconds of Summer'],2018-06-15,203417,82,False,1,1,False,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4
2v5lLKdZG0PsXGWfvigk55,Rewind.. (But I Love You),['WHIPPED CREAM'],Someone You Can Count On,5wj4dMktjUCPq8BfsQCMR2,['WHIPPED CREAM'],2023-03-08,173609,60,False,5,1,False,2v5lLKdZG0PsXGWfvigk55,0.668,0.787,6,-8.346,0,0.0418,0.0248,0.795,0.0821,0.0381,130.034,4
5jA67K9o5mEW5NzjRCdAUg,Breath,['Elohim'],Breath,4ZjGSYAVcd7TbZfFNUFWM8,['Elohim'],2023-04-07,200339,51,False,1,1,False,5jA67K9o5mEW5NzjRCdAUg,0.776,0.916,0,-3.569,1,0.0589,0.045,0.000733,0.1,0.274,118.039,4
4461Ozpndhv2AjNqe6d0Ic,Forever - Pauline Herr Rework,"['Alison Wonderland', 'Pauline Herr']",Loner (Remixes),0MOgYRLnYJNdSd8EsqT4dJ,['Alison Wonderland'],2023-03-16,170095,48,False,1,1,False,4461Ozpndhv2AjNqe6d0Ic,0.448,0.521,11,-6.846,0,0.0328,0.198,2.64e-06,0.349,0.428,139.787,4
46bI9wmq6kDJJ3yAqTvkzH,BACK ONLINE,"['MEMBA', 'pluko', 'EVAN GIIA', 'Biicla']",BACK ONLINE,4Jo971sLoS2lO4bf9hKe2j,"['MEMBA', 'pluko', 'EVAN GIIA']",2023-02-20,217846,52,False,1,1,False,46bI9wmq6kDJJ3yAqTvkzH,0.713,0.858,4,-5.787,0,0.071,0.145,0.0254,0.0914,0.428,130.031,4
1VyRpTEE3InYTwUGcjsHJm,YOU AND ME,['k?d'],YOU AND ME,1ltwxGR8bbmlFMprZmF9pH,['k?d'],2023-03-10,220952,45,False,1,1,False,1VyRpTEE3InYTwUGcjsHJm,0.753,0.769,11,-4.724,1,0.0541,0.215,0.0187,0.0692,0.791,126.03,4
7EA2tzWnu6i0Nai8PMUZgp,Show Me The Money (with Tkay Maidza),"['Snakehips', 'Tkay Maidza']",Show Me The Money (with Tkay Maidza),7L0qZYtIIxyo1B5omj6F4B,"['Snakehips', 'Tkay Maidza']",2023-03-16,187058,56,True,1,1,False,7EA2tzWnu6i0Nai8PMUZgp,0.786,0.88,5,-4.991,0,0.145,0.0212,0.000548,0.47,0.565,122.071,4
4Z8RMY2AQ3qQV11t78zJN5,Thirst - Hex Cougar Remix,"['Alison Wonderland', 'Hex Cougar']",Thirst (Hex Cougar Remix),0qfL5xHK6BopkSSWeYVGvd,"['Alison Wonderland', 'Hex Cougar']",2023-03-02,204963,51,False,1,1,False,4Z8RMY2AQ3qQV11t78zJN5,0.531,0.949,9,-1.79,0,0.0946,0.00117,0.107,0.079,0.189,136.985,4
3qomIBwYjMXzo0qDVfSYzc,Falling,"['Chris Malinchak', 'KOLIDESCOPES']",Falling,3s8ghNpqaH4O7Xk0BqAfnS,"['Chris Malinchak', 'KOLIDESCOPES']",2022-09-02,197739,54,False,1,1,False,3qomIBwYjMXzo0qDVfSYzc,0.627,0.747,5,-9.231,0,0.108,0.0259,0.0501,0.17,0.106,125.031,4
5jhaaWjYuXOOjdcf8GePey,Missing U,['Bart B More'],Missing U,3fZzOuBn4cCQPF3li8Dcs7,['Bart B More'],2021-09-10,200000,16,False,1,1,False,5jhaaWjYuXOOjdcf8GePey,0.833,0.807,2,-3.746,1,0.0442,0.0365,0.51,0.0917,0.112,125.998,4
0QBhoXvnvnOMi1fRQJ5lPb,Intoxicated,"['Drove', 'Justin Caruso']",Dusk Till Dawn,7bSoirYsoLBybTAu3D5Yfg,['Drove'],2021-07-16,176096,27,False,5,2,False,0QBhoXvnvnOMi1fRQJ5lPb,0.659,0.838,8,-7.206,0,0.0501,0.24,0.0267,0.125,0.206,122.018,4
5UI64Cm961c0MjxfiRgnp2,Can't Let You Go,['Janee'],Can't Let You Go,20EkExmAoHseOmwm6mjV96,['Janee'],2021-04-29,150000,40,False,1,1,False,5UI64Cm961c0MjxfiRgnp2,0.732,0.672,10,-8.742,1,0.0324,0.627,0.903,0.118,0.185,128.041,4
0yyH8JYSfGEDJRUyllg4CG,Happiness (Just A Pursuit),"['Mick Mazoo', 'Leela Rosa']",Happiness (Just A Pursuit),26llcMMM2WioNcKNlmrFIk,['Mick Mazoo'],2022-07-12,164516,39,False,1,1,False,0yyH8JYSfGEDJRUyllg4CG,0.691,0.949,10,-4.587,1,0.101,0.223,0.0012,0.279,0.0582,124.059,4
0LcYvoyt5DZlK2GEMDPnHu,Through It All,"['Drove', 'Citadelle']",Through It All,4JPZZ1zyqvRJkiBeDKWnpr,"['Drove', 'Citadelle']",2022-01-07,179139,48,False,1,1,False,0LcYvoyt5DZlK2GEMDPnHu,0.584,0.914,6,-8.099,0,0.0346,0.321,0.743,0.14,0.0352,121.979,4
0OKkWbiDJ33FFDqAybJFUM,Peace Of Mind,['Drove'],Dusk Till Dawn,7bSoirYsoLBybTAu3D5Yfg,['Drove'],2021-07-16,166000,46,False,1,2,False,0OKkWbiDJ33FFDqAybJFUM,0.599,0.914,6,-8.401,1,0.0536,0.176,0.7,0.172,0.0798,119.999,4
